positionOrder,seconds_pit
1,23.46418311
2,23.73182753
3,23.91649627
4,23.86041278
5,23.93062183
6,24.09223038
7,24.11484054
8,24.07058093
9,24.33684515
10,24.38879862
11,24.70625507
12,24.56786608
13,24.7801631
14,24.56568071
15,25.6179837
16,25.07836126
17,25.16853341
18,25.1309639
19,25.4893038
20,25.34645014
21,24.82189928
22,25.25228125
23,25.72477899
24,22.49435714
